parameter,value,units,category,impact,source
"- **Character levels:** Overall XP thresholds: 0, 300, 750, 1400, 2200 for levels 1–5.",750,xp,xp,linear,docs/archive/economy/economy.md:L26
"- **Character levels:** Overall XP thresholds: 0, 300, 750, 1400, 2200 for levels 1–5.",1400,xp,xp,linear,docs/archive/economy/economy.md:L26
"- **Character levels:** Overall XP thresholds: 0, 300, 750, 1400, 2200 for levels 1–5.",2200,xp,xp,linear,docs/archive/economy/economy.md:L26
"- **Character levels:** Overall XP thresholds: 0, 300, 750, 1400, 2200 for levels 1–5.",1,,progression,linear,docs/archive/economy/economy.md:L26
"- **Character levels:** Overall XP thresholds: 0, 300, 750, 1400, 2200 for levels 1–5.",5,,progression,linear,docs/archive/economy/economy.md:L26
- **XP generation:** `TIME_XP_RATE = 5` XP/hour and `MONEY_XP_INTERVAL = 25` dollars per 1 XP. Base XP is `timeXp + floor(moneySpent / 25)` unless an explicit `baseXp` override is provided; nonzero effort always yields at least 1 XP.,5,xp,xp,linear,docs/archive/economy/economy.md:L27
- **XP generation:** `TIME_XP_RATE = 5` XP/hour and `MONEY_XP_INTERVAL = 25` dollars per 1 XP. Base XP is `timeXp + floor(moneySpent / 25)` unless an explicit `baseXp` override is provided; nonzero effort always yields at least 1 XP.,25,xp,xp,linear,docs/archive/economy/economy.md:L27
- **XP generation:** `TIME_XP_RATE = 5` XP/hour and `MONEY_XP_INTERVAL = 25` dollars per 1 XP. Base XP is `timeXp + floor(moneySpent / 25)` unless an explicit `baseXp` override is provided; nonzero effort always yields at least 1 XP.,1,xp,xp,linear,docs/archive/economy/economy.md:L27
"- **Awarding XP:** Activities normalize their skill list weights, apply at least 1 XP per skill (`max(1, round(base * weight))`), level up skills and character, and refresh UI upon gains.",1,xp,xp,cap,docs/archive/economy/economy.md:L28
"- **Config:** Hiring costs `$180`, daily wage equals `hoursPerAssistant (3) * hourlyRate ($8) = $24`, and teams max at 4 assistants.",180,usd,cost,linear,docs/archive/economy/economy.md:L32
"- **Config:** Hiring costs `$180`, daily wage equals `hoursPerAssistant (3) * hourlyRate ($8) = $24`, and teams max at 4 assistants.",3,,cost,linear,docs/archive/economy/economy.md:L32
"- **Config:** Hiring costs `$180`, daily wage equals `hoursPerAssistant (3) * hourlyRate ($8) = $24`, and teams max at 4 assistants.",8,usd,limit,cap,docs/archive/economy/economy.md:L32
"- **Config:** Hiring costs `$180`, daily wage equals `hoursPerAssistant (3) * hourlyRate ($8) = $24`, and teams max at 4 assistants.",24,usd,limit,cap,docs/archive/economy/economy.md:L32
"- **Config:** Hiring costs `$180`, daily wage equals `hoursPerAssistant (3) * hourlyRate ($8) = $24`, and teams max at 4 assistants.",4,,limit,cap,docs/archive/economy/economy.md:L32
"- **Hiring:** Requires available cash and unused headcount. On hire, cash decreases by `$180`, +3 bonus hours are added (and immediately granted), costs are logged, and commerce skill XP is awarded based on money spent.",180,usd,time,linear,docs/archive/economy/economy.md:L33
"- **Hiring:** Requires available cash and unused headcount. On hire, cash decreases by `$180`, +3 bonus hours are added (and immediately granted), costs are logged, and commerce skill XP is awarded based on money spent.",3,usd,time,linear,docs/archive/economy/economy.md:L33
"- **Firing:** Reduces assistant count, removes 3 bonus hours from daily support, and deducts 3 hours from current time left (cannot go below zero in code).",3,,time,linear,docs/archive/economy/economy.md:L34
"- **Firing:** Reduces assistant count, removes 3 bonus hours from daily support, and deducts 3 hours from current time left (cannot go below zero in code).",3,hours,time,linear,docs/archive/economy/economy.md:L34
- **Payroll:** Every day deducts `assistantCount * 3h * $8` whether or not funds cover it; logs a warning if the balance dips below zero during payment.,3,,time,linear,docs/archive/economy/economy.md:L35
- **Payroll:** Every day deducts `assistantCount * 3h * $8` whether or not funds cover it; logs a warning if the balance dips below zero during payment.,8,usd,time,linear,docs/archive/economy/economy.md:L35
"- **Instant hustle boosts:** Completing tracks unlocks flat or multiplier bonuses enumerated per hustle; multipliers add to 1 (i.e., `1 + amount`), flats add additive dollars before upgrade multipliers.",1,,other,linear,docs/archive/economy/economy.md:L48
- **Asset income boosts:** Completed tracks also grant asset multipliers or flats using the same formula (`total = base * (1 + sumMultipliers) + sumFlats`).,1,,other,linear,docs/archive/economy/economy.md:L49
| storycraftJumpstart | 4 | 3 | $0 | Blog income +5% (multiplier). |,4,,income,linear,docs/archive/economy/economy.md:L57
| storycraftJumpstart | 4 | 3 | $0 | Blog income +5% (multiplier). |,3,,income,linear,docs/archive/economy/economy.md:L57
| storycraftJumpstart | 4 | 3 | $0 | Blog income +5% (multiplier). |,0,usd,cost,linear,docs/archive/economy/economy.md:L57
| storycraftJumpstart | 4 | 3 | $0 | Blog income +5% (multiplier). |,5,percent,income,linear,docs/archive/economy/economy.md:L57
| vlogStudioJumpstart | 4 | 3 | $0 | Vlog income +5%. |,4,,income,linear,docs/archive/economy/economy.md:L58
| vlogStudioJumpstart | 4 | 3 | $0 | Vlog income +5%. |,3,,income,linear,docs/archive/economy/economy.md:L58
| vlogStudioJumpstart | 4 | 3 | $0 | Vlog income +5%. |,0,usd,cost,linear,docs/archive/economy/economy.md:L58
| vlogStudioJumpstart | 4 | 3 | $0 | Vlog income +5%. |,5,percent,income,linear,docs/archive/economy/economy.md:L58
"| digitalShelfPrimer | 4 | 3 | $0 | E-book +5%, Stock Photos +5%. |",4,,other,linear,docs/archive/economy/economy.md:L59
"| digitalShelfPrimer | 4 | 3 | $0 | E-book +5%, Stock Photos +5%. |",3,,other,linear,docs/archive/economy/economy.md:L59
"| digitalShelfPrimer | 4 | 3 | $0 | E-book +5%, Stock Photos +5%. |",0,usd,cost,linear,docs/archive/economy/economy.md:L59
"| digitalShelfPrimer | 4 | 3 | $0 | E-book +5%, Stock Photos +5%. |",5,percent,income,linear,docs/archive/economy/economy.md:L59
| commerceLaunchPrimer | 4 | 3 | $0 | Dropshipping +5%. |,4,,other,linear,docs/archive/economy/economy.md:L60
| commerceLaunchPrimer | 4 | 3 | $0 | Dropshipping +5%. |,3,,other,linear,docs/archive/economy/economy.md:L60
| commerceLaunchPrimer | 4 | 3 | $0 | Dropshipping +5%. |,0,usd,cost,linear,docs/archive/economy/economy.md:L60
| commerceLaunchPrimer | 4 | 3 | $0 | Dropshipping +5%. |,5,percent,income,linear,docs/archive/economy/economy.md:L60
| microSaasJumpstart | 4 | 3 | $0 | SaaS +5%. |,4,,other,linear,docs/archive/economy/economy.md:L61
| microSaasJumpstart | 4 | 3 | $0 | SaaS +5%. |,3,,other,linear,docs/archive/economy/economy.md:L61
| microSaasJumpstart | 4 | 3 | $0 | SaaS +5%. |,0,usd,cost,linear,docs/archive/economy/economy.md:L61
| microSaasJumpstart | 4 | 3 | $0 | SaaS +5%. |,5,usd,cost,linear,docs/archive/economy/economy.md:L61
| outlineMastery | 2 | 5 | $140 | Freelance payout +25%; Audiobook payout +15%. |,2,,income,linear,docs/archive/economy/economy.md:L62
| outlineMastery | 2 | 5 | $140 | Freelance payout +25%; Audiobook payout +15%. |,5,,income,linear,docs/archive/economy/economy.md:L62
| outlineMastery | 2 | 5 | $140 | Freelance payout +25%; Audiobook payout +15%. |,140,usd,cost,linear,docs/archive/economy/economy.md:L62
| outlineMastery | 2 | 5 | $140 | Freelance payout +25%; Audiobook payout +15%. |,25,percent,income,linear,docs/archive/economy/economy.md:L62
| outlineMastery | 2 | 5 | $140 | Freelance payout +25%; Audiobook payout +15%. |,15,percent,income,linear,docs/archive/economy/economy.md:L62
| photoLibrary | 1.5 | 4 | $95 | Event Photo Gig payout +20%. |,1.5,,income,linear,docs/archive/economy/economy.md:L63
| photoLibrary | 1.5 | 4 | $95 | Event Photo Gig payout +20%. |,4,,income,linear,docs/archive/economy/economy.md:L63
| photoLibrary | 1.5 | 4 | $95 | Event Photo Gig payout +20%. |,95,usd,cost,linear,docs/archive/economy/economy.md:L63
| photoLibrary | 1.5 | 4 | $95 | Event Photo Gig payout +20%. |,20,percent,income,linear,docs/archive/economy/economy.md:L63
| ecomPlaybook | 3 | 9 | $900 | Bundle Promo Push +$5 flat; Dropshipping +15%. |,3,,other,linear,docs/archive/economy/economy.md:L64
| ecomPlaybook | 3 | 9 | $900 | Bundle Promo Push +$5 flat; Dropshipping +15%. |,9,,other,linear,docs/archive/economy/economy.md:L64
| ecomPlaybook | 3 | 9 | $900 | Bundle Promo Push +$5 flat; Dropshipping +15%. |,900,usd,cost,linear,docs/archive/economy/economy.md:L64
| ecomPlaybook | 3 | 9 | $900 | Bundle Promo Push +$5 flat; Dropshipping +15%. |,5,usd,cost,linear,docs/archive/economy/economy.md:L64
| ecomPlaybook | 3 | 9 | $900 | Bundle Promo Push +$5 flat; Dropshipping +15%. |,15,percent,income,linear,docs/archive/economy/economy.md:L64
| automationCourse | 6 | 15 | $3000 | SaaS Bug Squash +$6 flat; SaaS +15%. |,6,,other,linear,docs/archive/economy/economy.md:L65
| automationCourse | 6 | 15 | $3000 | SaaS Bug Squash +$6 flat; SaaS +15%. |,15,,other,linear,docs/archive/economy/economy.md:L65
| automationCourse | 6 | 15 | $3000 | SaaS Bug Squash +$6 flat; SaaS +15%. |,3000,usd,cost,linear,docs/archive/economy/economy.md:L65
| automationCourse | 6 | 15 | $3000 | SaaS Bug Squash +$6 flat; SaaS +15%. |,6,usd,cost,linear,docs/archive/economy/economy.md:L65
| automationCourse | 6 | 15 | $3000 | SaaS Bug Squash +$6 flat; SaaS +15%. |,15,percent,income,linear,docs/archive/economy/economy.md:L65
| brandVoiceLab | 1 | 4 | $120 | Audience Call +$4 flat. |,1,,other,linear,docs/archive/economy/economy.md:L66
| brandVoiceLab | 1 | 4 | $120 | Audience Call +$4 flat. |,4,,other,linear,docs/archive/economy/economy.md:L66
| brandVoiceLab | 1 | 4 | $120 | Audience Call +$4 flat. |,120,usd,cost,linear,docs/archive/economy/economy.md:L66
| brandVoiceLab | 1 | 4 | $120 | Audience Call +$4 flat. |,4,usd,cost,linear,docs/archive/economy/economy.md:L66
| guerillaBuzzWorkshop | 1.5 | 6 | $180 | Street Promo Sprint +25%; Survey Sprint +$1.5 flat. |,1.5,,other,linear,docs/archive/economy/economy.md:L67
| guerillaBuzzWorkshop | 1.5 | 6 | $180 | Street Promo Sprint +25%; Survey Sprint +$1.5 flat. |,6,,other,linear,docs/archive/economy/economy.md:L67
| guerillaBuzzWorkshop | 1.5 | 6 | $180 | Street Promo Sprint +25%; Survey Sprint +$1.5 flat. |,180,usd,cost,linear,docs/archive/economy/economy.md:L67
| guerillaBuzzWorkshop | 1.5 | 6 | $180 | Street Promo Sprint +25%; Survey Sprint +$1.5 flat. |,25,percent,income,linear,docs/archive/economy/economy.md:L67
| guerillaBuzzWorkshop | 1.5 | 6 | $180 | Street Promo Sprint +25%; Survey Sprint +$1.5 flat. |,1.5,usd,cost,linear,docs/archive/economy/economy.md:L67
| curriculumDesignStudio | 2.5 | 6 | $280 | Pop-Up Workshop +30%; Bundle Push +15%. |,2.5,,other,linear,docs/archive/economy/economy.md:L68
| curriculumDesignStudio | 2.5 | 6 | $280 | Pop-Up Workshop +30%; Bundle Push +15%. |,6,,other,linear,docs/archive/economy/economy.md:L68
| curriculumDesignStudio | 2.5 | 6 | $280 | Pop-Up Workshop +30%; Bundle Push +15%. |,280,usd,cost,linear,docs/archive/economy/economy.md:L68
| curriculumDesignStudio | 2.5 | 6 | $280 | Pop-Up Workshop +30%; Bundle Push +15%. |,30,percent,income,linear,docs/archive/economy/economy.md:L68
| curriculumDesignStudio | 2.5 | 6 | $280 | Pop-Up Workshop +30%; Bundle Push +15%. |,15,percent,income,linear,docs/archive/economy/economy.md:L68
| postProductionPipelineLab | 4 | 10 | $900 | Vlog Edit Rush +25%; Vlog income +15%. |,4,,other,linear,docs/archive/economy/economy.md:L69
| postProductionPipelineLab | 4 | 10 | $900 | Vlog Edit Rush +25%; Vlog income +15%. |,10,,other,linear,docs/archive/economy/economy.md:L69
| postProductionPipelineLab | 4 | 10 | $900 | Vlog Edit Rush +25%; Vlog income +15%. |,900,usd,cost,linear,docs/archive/economy/economy.md:L69
| postProductionPipelineLab | 4 | 10 | $900 | Vlog Edit Rush +25%; Vlog income +15%. |,25,percent,income,linear,docs/archive/economy/economy.md:L69
| postProductionPipelineLab | 4 | 10 | $900 | Vlog Edit Rush +25%; Vlog income +15%. |,15,percent,income,linear,docs/archive/economy/economy.md:L69
| fulfillmentOpsMasterclass | 4 | 10 | $1200 | Dropship Pack Party +20%; Dropshipping +25%. |,4,,other,linear,docs/archive/economy/economy.md:L70
| fulfillmentOpsMasterclass | 4 | 10 | $1200 | Dropship Pack Party +20%; Dropshipping +25%. |,10,,other,linear,docs/archive/economy/economy.md:L70
| fulfillmentOpsMasterclass | 4 | 10 | $1200 | Dropship Pack Party +20%; Dropshipping +25%. |,1200,usd,cost,linear,docs/archive/economy/economy.md:L70
| fulfillmentOpsMasterclass | 4 | 10 | $1200 | Dropship Pack Party +20%; Dropshipping +25%. |,20,percent,income,linear,docs/archive/economy/economy.md:L70
| fulfillmentOpsMasterclass | 4 | 10 | $1200 | Dropship Pack Party +20%; Dropshipping +25%. |,25,percent,income,linear,docs/archive/economy/economy.md:L70
| customerRetentionClinic | 3 | 7 | $1000 | SaaS Bug Squash +$5 flat; SaaS +20%. |,3,,other,linear,docs/archive/economy/economy.md:L71
| customerRetentionClinic | 3 | 7 | $1000 | SaaS Bug Squash +$5 flat; SaaS +20%. |,7,,other,linear,docs/archive/economy/economy.md:L71
| customerRetentionClinic | 3 | 7 | $1000 | SaaS Bug Squash +$5 flat; SaaS +20%. |,1000,usd,cost,linear,docs/archive/economy/economy.md:L71
| customerRetentionClinic | 3 | 7 | $1000 | SaaS Bug Squash +$5 flat; SaaS +20%. |,5,usd,cost,linear,docs/archive/economy/economy.md:L71
| customerRetentionClinic | 3 | 7 | $1000 | SaaS Bug Squash +$5 flat; SaaS +20%. |,20,percent,income,linear,docs/archive/economy/economy.md:L71
| narrationPerformanceWorkshop | 3 | 7 | $900 | Audiobook Narration +25%; E-book +10%. |,3,,other,linear,docs/archive/economy/economy.md:L72
| narrationPerformanceWorkshop | 3 | 7 | $900 | Audiobook Narration +25%; E-book +10%. |,7,,other,linear,docs/archive/economy/economy.md:L72
| narrationPerformanceWorkshop | 3 | 7 | $900 | Audiobook Narration +25%; E-book +10%. |,900,usd,cost,linear,docs/archive/economy/economy.md:L72
| narrationPerformanceWorkshop | 3 | 7 | $900 | Audiobook Narration +25%; E-book +10%. |,25,percent,income,linear,docs/archive/economy/economy.md:L72
| narrationPerformanceWorkshop | 3 | 7 | $900 | Audiobook Narration +25%; E-book +10%. |,10,percent,income,linear,docs/archive/economy/economy.md:L72
| galleryLicensingSummit | 4 | 8 | $1100 | Event Photo Gig +20%; Stock Photos +15%. |,4,,other,linear,docs/archive/economy/economy.md:L73
| galleryLicensingSummit | 4 | 8 | $1100 | Event Photo Gig +20%; Stock Photos +15%. |,8,,other,linear,docs/archive/economy/economy.md:L73
| galleryLicensingSummit | 4 | 8 | $1100 | Event Photo Gig +20%; Stock Photos +15%. |,1100,usd,cost,linear,docs/archive/economy/economy.md:L73
| galleryLicensingSummit | 4 | 8 | $1100 | Event Photo Gig +20%; Stock Photos +15%. |,20,percent,income,linear,docs/archive/economy/economy.md:L73
| galleryLicensingSummit | 4 | 8 | $1100 | Event Photo Gig +20%; Stock Photos +15%. |,15,percent,income,linear,docs/archive/economy/economy.md:L73
| syndicationResidency | 4 | 9 | $1000 | Freelance +15%; Street Promo Sprint +$2 flat; Blog +12%. |,4,,other,linear,docs/archive/economy/economy.md:L74
| syndicationResidency | 4 | 9 | $1000 | Freelance +15%; Street Promo Sprint +$2 flat; Blog +12%. |,9,,other,linear,docs/archive/economy/economy.md:L74
| syndicationResidency | 4 | 9 | $1000 | Freelance +15%; Street Promo Sprint +$2 flat; Blog +12%. |,1000,usd,cost,linear,docs/archive/economy/economy.md:L74
| syndicationResidency | 4 | 9 | $1000 | Freelance +15%; Street Promo Sprint +$2 flat; Blog +12%. |,15,percent,income,linear,docs/archive/economy/economy.md:L74
| syndicationResidency | 4 | 9 | $1000 | Freelance +15%; Street Promo Sprint +$2 flat; Blog +12%. |,2,usd,cost,linear,docs/archive/economy/economy.md:L74
| syndicationResidency | 4 | 9 | $1000 | Freelance +15%; Street Promo Sprint +$2 flat; Blog +12%. |,12,percent,income,linear,docs/archive/economy/economy.md:L74
| storycraftJumpstart | 120 | Writing 100%. |,120,,other,linear,docs/archive/economy/economy.md:L82
| storycraftJumpstart | 120 | Writing 100%. |,100,percent,income,linear,docs/archive/economy/economy.md:L82
| vlogStudioJumpstart | 120 | Visual 100%. |,120,,other,linear,docs/archive/economy/economy.md:L83
| vlogStudioJumpstart | 120 | Visual 100%. |,100,percent,income,linear,docs/archive/economy/economy.md:L83
| digitalShelfPrimer | 120 | Editing 100%. |,120,,other,linear,docs/archive/economy/economy.md:L84
| digitalShelfPrimer | 120 | Editing 100%. |,100,percent,income,linear,docs/archive/economy/economy.md:L84
| commerceLaunchPrimer | 120 | Commerce 100%. |,120,,other,linear,docs/archive/economy/economy.md:L85
| commerceLaunchPrimer | 120 | Commerce 100%. |,100,percent,income,linear,docs/archive/economy/economy.md:L85
| microSaasJumpstart | 120 | Software 100%. |,120,,other,linear,docs/archive/economy/economy.md:L86
| microSaasJumpstart | 120 | Software 100%. |,100,percent,income,linear,docs/archive/economy/economy.md:L86
| outlineMastery | 120 | Writing 100%. |,120,,other,linear,docs/archive/economy/economy.md:L87
| outlineMastery | 120 | Writing 100%. |,100,percent,income,linear,docs/archive/economy/economy.md:L87
"| photoLibrary | 120 | Visual 50%, Editing 50%. |",120,,other,linear,docs/archive/economy/economy.md:L88
"| photoLibrary | 120 | Visual 50%, Editing 50%. |",50,percent,income,linear,docs/archive/economy/economy.md:L88
"| ecomPlaybook | 120 | Research 50%, Commerce 50%. |",120,,other,linear,docs/archive/economy/economy.md:L89
"| ecomPlaybook | 120 | Research 50%, Commerce 50%. |",50,percent,income,linear,docs/archive/economy/economy.md:L89
"| automationCourse | 120 | Software 60%, Infrastructure 40%. |",120,,other,linear,docs/archive/economy/economy.md:L90
"| automationCourse | 120 | Software 60%, Infrastructure 40%. |",60,percent,income,linear,docs/archive/economy/economy.md:L90
"| automationCourse | 120 | Software 60%, Infrastructure 40%. |",40,percent,income,linear,docs/archive/economy/economy.md:L90
"| brandVoiceLab | 100 | Audience 60%, Promotion 40%. |",100,,other,linear,docs/archive/economy/economy.md:L91
"| brandVoiceLab | 100 | Audience 60%, Promotion 40%. |",60,percent,income,linear,docs/archive/economy/economy.md:L91
"| brandVoiceLab | 100 | Audience 60%, Promotion 40%. |",40,percent,income,linear,docs/archive/economy/economy.md:L91
"| guerillaBuzzWorkshop | 110 | Promotion 60%, Audience 40%. |",110,,other,linear,docs/archive/economy/economy.md:L92
"| guerillaBuzzWorkshop | 110 | Promotion 60%, Audience 40%. |",60,percent,income,linear,docs/archive/economy/economy.md:L92
"| guerillaBuzzWorkshop | 110 | Promotion 60%, Audience 40%. |",40,percent,income,linear,docs/archive/economy/economy.md:L92
"| curriculumDesignStudio | 150 | Audience 60%, Writing 40%. |",150,,other,linear,docs/archive/economy/economy.md:L93
"| curriculumDesignStudio | 150 | Audience 60%, Writing 40%. |",60,percent,income,linear,docs/archive/economy/economy.md:L93
"| curriculumDesignStudio | 150 | Audience 60%, Writing 40%. |",40,percent,income,linear,docs/archive/economy/economy.md:L93
"| postProductionPipelineLab | 150 | Editing 70%, Visual 30%. |",150,,other,linear,docs/archive/economy/economy.md:L94
"| postProductionPipelineLab | 150 | Editing 70%, Visual 30%. |",70,percent,income,linear,docs/archive/economy/economy.md:L94
"| postProductionPipelineLab | 150 | Editing 70%, Visual 30%. |",30,percent,income,linear,docs/archive/economy/economy.md:L94
"| fulfillmentOpsMasterclass | 140 | Commerce 70%, Promotion 30%. |",140,,other,linear,docs/archive/economy/economy.md:L95
"| fulfillmentOpsMasterclass | 140 | Commerce 70%, Promotion 30%. |",70,percent,income,linear,docs/archive/economy/economy.md:L95
"| fulfillmentOpsMasterclass | 140 | Commerce 70%, Promotion 30%. |",30,percent,income,linear,docs/archive/economy/economy.md:L95
"| customerRetentionClinic | 140 | Audience 40%, Promotion 30%, Software 30%. |",140,,other,linear,docs/archive/economy/economy.md:L96
"| customerRetentionClinic | 140 | Audience 40%, Promotion 30%, Software 30%. |",40,percent,income,linear,docs/archive/economy/economy.md:L96
"| customerRetentionClinic | 140 | Audience 40%, Promotion 30%, Software 30%. |",30,percent,income,linear,docs/archive/economy/economy.md:L96
"| narrationPerformanceWorkshop | 130 | Audio 60%, Writing 40%. |",130,,other,linear,docs/archive/economy/economy.md:L97
"| narrationPerformanceWorkshop | 130 | Audio 60%, Writing 40%. |",60,percent,income,linear,docs/archive/economy/economy.md:L97
"| narrationPerformanceWorkshop | 130 | Audio 60%, Writing 40%. |",40,percent,income,linear,docs/archive/economy/economy.md:L97
"| galleryLicensingSummit | 140 | Visual 60%, Commerce 40%. |",140,,other,linear,docs/archive/economy/economy.md:L98
"| galleryLicensingSummit | 140 | Visual 60%, Commerce 40%. |",60,percent,income,linear,docs/archive/economy/economy.md:L98
"| galleryLicensingSummit | 140 | Visual 60%, Commerce 40%. |",40,percent,income,linear,docs/archive/economy/economy.md:L98
"| syndicationResidency | 150 | Promotion 50%, Audience 30%, Writing 20%. |",150,,other,linear,docs/archive/economy/economy.md:L99
"| syndicationResidency | 150 | Promotion 50%, Audience 30%, Writing 20%. |",50,percent,income,linear,docs/archive/economy/economy.md:L99
"| syndicationResidency | 150 | Promotion 50%, Audience 30%, Writing 20%. |",30,percent,income,linear,docs/archive/economy/economy.md:L99
"| syndicationResidency | 150 | Promotion 50%, Audience 30%, Writing 20%. |",20,percent,income,linear,docs/archive/economy/economy.md:L99
| Freelance Writing | 2 | $0 | ∞ | $18 | None | Writing. |,2,,other,linear,docs/archive/economy/economy.md:L115
| Freelance Writing | 2 | $0 | ∞ | $18 | None | Writing. |,0,usd,cost,linear,docs/archive/economy/economy.md:L115
| Freelance Writing | 2 | $0 | ∞ | $18 | None | Writing. |,18,usd,cost,linear,docs/archive/economy/economy.md:L115
| Audience Q&A Blast | 1 | $0 | 1 | $12 | Blog asset ≥1. | Audience. |,1,,other,linear,docs/archive/economy/economy.md:L116
| Audience Q&A Blast | 1 | $0 | 1 | $12 | Blog asset ≥1. | Audience. |,0,usd,cost,linear,docs/archive/economy/economy.md:L116
| Audience Q&A Blast | 1 | $0 | 1 | $12 | Blog asset ≥1. | Audience. |,1,usd,cost,linear,docs/archive/economy/economy.md:L116
| Audience Q&A Blast | 1 | $0 | 1 | $12 | Blog asset ≥1. | Audience. |,12,usd,cost,linear,docs/archive/economy/economy.md:L116
| Bundle Promo Push | 2.5 | $0 | ∞ | $48 | Blog ≥2 and E-book ≥1. | Promotion. |,2.5,,other,linear,docs/archive/economy/economy.md:L117
| Bundle Promo Push | 2.5 | $0 | ∞ | $48 | Blog ≥2 and E-book ≥1. | Promotion. |,0,usd,cost,linear,docs/archive/economy/economy.md:L117
| Bundle Promo Push | 2.5 | $0 | ∞ | $48 | Blog ≥2 and E-book ≥1. | Promotion. |,48,usd,cost,linear,docs/archive/economy/economy.md:L117
| Bundle Promo Push | 2.5 | $0 | ∞ | $48 | Blog ≥2 and E-book ≥1. | Promotion. |,2,usd,cost,linear,docs/archive/economy/economy.md:L117
| Bundle Promo Push | 2.5 | $0 | ∞ | $48 | Blog ≥2 and E-book ≥1. | Promotion. |,1,,other,linear,docs/archive/economy/economy.md:L117
| Micro Survey Dash | 0.25 | $0 | 4 | $1 | None | Research. |,0.25,,other,linear,docs/archive/economy/economy.md:L118
| Micro Survey Dash | 0.25 | $0 | 4 | $1 | None | Research. |,0,usd,cost,linear,docs/archive/economy/economy.md:L118
| Micro Survey Dash | 0.25 | $0 | 4 | $1 | None | Research. |,4,usd,cost,linear,docs/archive/economy/economy.md:L118
| Micro Survey Dash | 0.25 | $0 | 4 | $1 | None | Research. |,1,usd,cost,linear,docs/archive/economy/economy.md:L118
| Event Photo Gig | 3.5 | $0 | ∞ | $72 | Stock Photos ≥1. | Visual. |,3.5,,other,linear,docs/archive/economy/economy.md:L119
| Event Photo Gig | 3.5 | $0 | ∞ | $72 | Stock Photos ≥1. | Visual. |,0,usd,cost,linear,docs/archive/economy/economy.md:L119
| Event Photo Gig | 3.5 | $0 | ∞ | $72 | Stock Photos ≥1. | Visual. |,72,usd,cost,linear,docs/archive/economy/economy.md:L119
| Event Photo Gig | 3.5 | $0 | ∞ | $72 | Stock Photos ≥1. | Visual. |,1,,other,linear,docs/archive/economy/economy.md:L119
"| Pop-Up Workshop | 2.5 | $0 | ∞ | $38 | Blog ≥1, E-book ≥1. | Audience (Writing weight 0.5). |",2.5,,other,linear,docs/archive/economy/economy.md:L120
